split,capture_frame,source_frame,symbol_acc,pattern_acc,color_acc,blur,localize_source
train,frame_000008.png,frame_000001.png,84.754,84.866,98.751,43.294,yolo+contour-progressive
train,frame_000009.png,frame_000001.png,84.978,85.077,98.844,43.344,yolo+contour-progressive
train,frame_000019.png,frame_000004.png,83.051,83.201,98.657,40.580,yolo+contour-progressive
train,frame_000020.png,frame_000004.png,83.117,83.219,98.536,41.083,yolo+contour-progressive
train,frame_000021.png,frame_000004.png,81.451,81.694,98.512,39.255,yolo+contour-progressive
train,frame_000022.png,frame_000005.png,78.859,79.341,97.726,40.967,yolo+contour-progressive
train,frame_000023.png,frame_000005.png,79.089,79.421,97.287,41.343,yolo+contour-progressive
train,frame_000024.png,frame_000005.png,81.049,81.259,98.087,41.912,yolo+contour-progressive
train,frame_000025.png,frame_000005.png,81.278,81.517,98.157,41.917,yolo+contour-progressive
train,frame_000026.png,frame_000006.png,79.234,79.636,97.081,42.368,yolo+contour-progressive
train,frame_000027.png,frame_000006.png,81.652,81.821,98.040,43.176,yolo+contour-progressive
train,frame_000037.png,frame_000009.png,80.211,80.581,97.890,41.862,yolo+contour-progressive
train,frame_000038.png,frame_000009.png,82.873,83.084,98.554,42.815,yolo+contour-progressive
train,frame_000039.png,frame_000009.png,83.753,83.884,98.690,42.980,yolo+contour-progressive
train,frame_000041.png,frame_000010.png,80.773,80.946,98.199,42.239,yolo+contour-progressive
train,frame_000042.png,frame_000010.png,81.863,82.101,98.012,43.543,yolo+contour-progressive
train,frame_000043.png,frame_000010.png,82.775,82.911,98.625,43.068,yolo+contour-progressive
train,frame_000044.png,frame_000010.png,82.069,82.246,98.559,41.781,yolo+contour-progressive
train,frame_000046.png,frame_000011.png,81.199,81.423,98.063,41.625,yolo+contour-progressive
train,frame_000047.png,frame_000011.png,82.972,83.103,98.498,42.081,yolo+contour-progressive
train,frame_000048.png,frame_000012.png,77.868,78.382,96.912,40.782,yolo+contour-progressive
train,frame_000049.png,frame_000012.png,79.538,79.907,97.769,41.002,yolo+contour-progressive
train,frame_000050.png,frame_000012.png,80.380,80.675,97.754,40.355,yolo+contour-progressive
train,frame_000051.png,frame_000012.png,80.595,80.894,98.073,40.980,yolo+contour-progressive
train,frame_000052.png,frame_000013.png,77.147,77.854,97.263,41.417,yolo+contour-progressive
train,frame_000053.png,frame_000013.png,81.624,81.802,98.358,43.055,yolo+contour-progressive
train,frame_000054.png,frame_000013.png,83.327,83.472,98.512,42.879,yolo+contour-progressive
train,frame_000057.png,frame_000014.png,76.254,76.661,97.740,41.164,yolo+contour-progressive
train,frame_000058.png,frame_000014.png,77.133,77.428,97.857,41.208,yolo+contour-progressive
train,frame_000060.png,frame_000015.png,79.178,79.571,97.745,40.313,yolo+contour-progressive
train,frame_000061.png,frame_000015.png,84.412,84.459,98.985,42.876,yolo+contour-progressive
train,frame_000062.png,frame_000015.png,84.609,84.656,99.116,42.384,yolo+contour-progressive
train,frame_000067.png,frame_000017.png,79.201,79.683,97.722,41.523,yolo+contour-progressive
train,frame_000068.png,frame_000017.png,79.000,79.327,97.362,42.524,yolo+contour-progressive
train,frame_000069.png,frame_000017.png,81.297,81.526,98.278,42.399,yolo+contour-progressive
train,frame_000070.png,frame_000017.png,79.173,79.477,98.246,39.900,yolo+contour-progressive
train,frame_000071.png,frame_000018.png,78.597,79.168,97.638,41.294,yolo+contour-progressive
train,frame_000072.png,frame_000018.png,78.785,79.206,97.567,40.921,yolo+contour-progressive
train,frame_000073.png,frame_000018.png,78.251,78.612,96.945,40.981,yolo+contour-progressive
train,frame_000076.png,frame_000019.png,76.450,76.853,97.535,40.056,yolo+contour-progressive
train,frame_000077.png,frame_000019.png,76.282,76.656,97.591,39.931,yolo+contour-progressive
val,frame_000011.png,frame_000002.png,82.373,82.616,98.316,42.353,yolo+contour-progressive
val,frame_000012.png,frame_000002.png,82.855,83.051,98.391,42.227,yolo+contour-progressive
val,frame_000013.png,frame_000002.png,84.169,84.370,98.587,42.741,yolo+contour-progressive
val,frame_000029.png,frame_000007.png,80.328,80.829,97.759,40.024,yolo+contour-progressive
val,frame_000030.png,frame_000007.png,82.630,83.000,98.269,41.487,yolo+contour-progressive
val,frame_000031.png,frame_000007.png,82.158,82.462,98.176,41.544,yolo+contour-progressive
val,frame_000032.png,frame_000007.png,83.173,83.449,98.358,41.470,yolo+contour-progressive
val,frame_000063.png,frame_000016.png,81.863,82.092,98.381,41.602,yolo+contour-progressive
val,frame_000064.png,frame_000016.png,80.441,80.689,97.867,41.634,yolo+contour-progressive
val,frame_000065.png,frame_000016.png,82.349,82.518,98.400,43.016,yolo+contour-progressive
val,frame_000066.png,frame_000016.png,81.924,82.129,98.442,43.439,yolo+contour-progressive
test,frame_000001.png,frame_000000.png,86.583,86.635,98.896,43.570,yolo+contour-progressive
