epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,131.403,0.51687,1.04308,0.88039,0.98684,0.98834,0.99289,0.90713,0.3766,0.371,0.80244,0.00998433,0.00332811,0.00998433,0.00332811,0.00998433,0.00332811,0.00998433,0.00332811
2,246.62,0.47578,0.49166,0.85504,0.98797,0.98383,0.99308,0.92324,0.35015,0.32117,0.80316,0.0197865,0.00659549,0.0197865,0.00659549,0.0197865,0.00659549,0.0197865,0.00659549
3,353.989,0.4943,0.442,0.86071,0.98807,0.98847,0.99315,0.92324,0.36392,0.30237,0.80479,0.0293906,0.00979688,0.0293906,0.00979688,0.0293906,0.00979688,0.0293906,0.00979688
4,484.828,0.46214,0.37461,0.85589,0.99177,0.99235,0.99444,0.94006,0.31351,0.25219,0.79687,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,617.675,0.41294,0.32202,0.84497,0.99182,0.9932,0.994,0.95263,0.28512,0.2338,0.7924,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,751.44,0.3815,0.29377,0.83912,0.99459,0.99377,0.99448,0.95955,0.25265,0.21562,0.78696,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,886.546,0.36296,0.27616,0.83447,0.99382,0.99566,0.99445,0.96246,0.23679,0.20093,0.7825,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1024.31,0.34598,0.2623,0.83078,0.99406,0.99369,0.99435,0.96678,0.22757,0.18916,0.78193,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1164.68,0.33303,0.25208,0.82809,0.99463,0.99639,0.99471,0.97,0.22054,0.18342,0.78025,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1304.88,0.32184,0.24286,0.82609,0.9943,0.99635,0.99449,0.96764,0.2136,0.17643,0.7773,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
